number,kind,line1,line2,line3
40,other,"A %s sneaks into the room from %s.","The %s sneaks out of the room to %s.","The kobold thief creeps into the room after you!"
41,other,"The %s stabs you for %d damage!","The %s stabs %s for %s damage!","The kobold thief falls to the ground with a shrill cry."
42,commands,"pull lever","push lever","move lever"
43,commands,"say faith","say faith","speak faith"
44,other,"The roast mutton is delicious!","",""
45,other,"You finish the beef stew, casting the bowl aside.","",""
46,other,"A %s strides in from %s!","The %s strides out to %s!","The %s runs after you!"
47,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The elite orc guard spits up blood, and dies!"
48,other,"The %s all-out slashes you for %d damage!","The %s all-out slashes %s for %s damage!",""
49,other,"The %s strides in from %s!","The %s strides out to %s!","The %s charges after you!"
50,spell,"You reel drunkenly!","%s stumbles in a drunken stupor!","You are intoxicated!"
51,other,"%s takes %d acid damage!","Acid burns you for %d damage!","%s is burned by acid for %s damage!"
52,spell,"You feel your strength return.","","You feel weak!"
53,other,"","You wake up in the slums, dazed and bruised!",""
54,other,"You force your crowbar between the chains, and heave mightily!","%s forces a crowbat between the chains, and heaves mightily!","%s forces a crowbar between the chains, and heaves mightily!"
55,other,"The chains snap, and the door to the warehouse opens.","The chains snap, and the door to the warehouse opens.","The chains snap, and the door to the warehouse opens."
56,spell,"You are stunned!","%s stares about blankly, drooling from the mouth.","You are stunned!"
57,spell,"You are no longer stunned.","","You are stunned!"
58,other,"%s strikes you a glancing blow for %d damage!","%s strikes %s with a glancing blow for %s damage!",""
59,other,"The %s all-out cleaves you for %d damage!","The %s all-out cleaves %s for %s damage!",""
60,commands,"go ebony","enter ebony","go ebony portal"
61,other,"As you walk into the ebony portal a strange feeling passes over you.","%s enters the ebony portal and vanishes!","%s appears from within the ebony portal!"
62,commands,"go crimson","enter crimson","go crimson portal"
63,other,"As you walk into the crimson portal a strange feeling passes over you.","%s enters the crimson portal and vanishes!","%s appears from within the crimson portal!"
64,commands,"go golden","enter golden","go golden portal"
65,other,"As you walk into the golden portal a strange feeling passes over you.","%s enters the golden portal and vanishes!","%s appears from with in the golden portal!"
67,other,"%s is struck by a dark force for %d damage!","You are struck by a dark force for %d damage!","%s is struck by a dark force for %s damage!"
68,spell,"The effects of blur wear off.","","You are blurred!"
69,cast,"You cast %s, transforming yourself into a shadow!","","%s casts %s, and transforms into a shadow!"
70,spell,"You return to your normal form.","","You are a shadow!"
71,spell,"You feel less sick.","","You feel nauseous!"
72,spell,"You retch uncontrollably!","%s retches uncontrollably!","You feel nauseous!"
73,spell,"Your mageshield shimmers and fades.","","You feel protected!"
74,cast,"You cast %s, enveloping your enemies in stinking gas!","","%s casts %s on the room!"
75,cast,"You cast %s, enveloping the room in a foul stench!","%s casts %s on you!","%s casts %s on the room!"
76,cast,"You cast %s, surrounding yourself in a shimmering field!","","%s casts %s!"
77,cast,"You cast %s on %s!","%s casts %s on you!","%s casts %s on %s!"
78,spell,"You can talk again!","","You are silenced!"
79,cast,"You cast %s on the room!","%s casts %s on you for %d damage!","%s casts %s on the room!"
80,cast,"You cast %s on %s!","%s casts %s on you!","%s casts %s on %s!"
81,spell,"You feel safer now.","","You feel vulnerable!"
82,cast,"You cast %s on the room!","%s casts %s on you for %d damage!","%s casts %s on the room!"
83,cast,"You cast %s on the room!","%s casts %s on you for %d damage!","%s casts %s on the room!"
84,spell,"You are no longer freezing.","","You are freezing!"
85,spell,"Your awareness returns to normal.","","You feel oblivious!"
86,spell,"Your healing rate returns to normal.","","You are healing faster!"
87,spell,"The acid covering you dries up.","","You are covered in acid!"
88,spell,"Your body returns to normal.","","You are partially petrified!"
89,cast,"You cast %s on the room!","%s casts %s on you!","%s casts %s on the room!"
90,spell,"The disease dies down.","","You are rotting!"
91,spell,"The effects of iron faith wear off.","","Your resistance is strengthened!"
92,cast,"You cast %s on yourself.","","%s casts %s!"
93,spell,"The effects of greater bless wear off.","","You feel VERY lucky!"
94,spell,"The glittering dust wears off.","","You are glittering!"
95,spell,"The effects of holy armour wear off!","","You feel protected!"
96,spell,"The effects of unholy armour wear off!","","You feel protected!"
97,other,"Its magic used, the scroll disintegrates.","",""
98,cast,"You cast %s on %sthe room for %d damage!","%s casts %s on you for %d damage!","%s casts %s on %sthe room for %s damage!"
99,other,"The fireball explodes, %scausing %d damage!","You take %d damage from the explosion!","An explosion rocks %sthe room for %s damage!"
100,spell,"You throw a fireball!","%s throws a fireball!","%s throws a fireball!"
101,other,"Dancing blades slice %sthe foe for %d damage!","Dancing blades slice you for %d damage!","Dancing blades slice %sthe room for %s damage!"
102,spell,"You sketch a sharp symbol in the air.","%s sketches a sharp symbol in the air.","%s sketches a sharp symbol in the air."
103,other,"A freezing storm of ice envelops the foe!","A freezing storm of ice surrounds you!","A freezing storm of ice sweeps through the room!"
104,spell,"You wave your hands about expansively.","%s makes a sweeping gesture.","%s makes a sweeping gesture."
105,other,"Acid rain pours down upon your foe!","Acid rain pours down upon you!","Acid rain pours down upon the room!"
106,spell,"You clutch at the sky.","%s clutches at the sky.","%s clutches at the sky."
107,other,"A chaotic storm assaults %syour foe for %d damage!","A chaotic storm assaults you for %d damage!","A chaotic storm assaults %sthe room for %s damage!"
108,spell,"You wave your hands about menacingly.","%s makes a menacing gesture!","%s makes a menacing gesture!"
109,cast,"You cast %s on your %sparty, healing %d damage!","%s casts %s on you, healing %d damage!","%s casts %s on the room!"
110,cast,"You cast %s on your party!","%s casts %s on you!","%s casts %s!"
111,cast,"You cast %s on your foe!","%s casts %s on you!","%s casts %s!"
112,other,"Dark energy drains %s of life for %d damage!","Dark energy drains you for life for %d damage!","Dark energy drains %s of life for %s damage!"
113,other,"You touch %s.","%s touches you.","%s touches %s."
114,spell,"You use the silvery skullcap.","%s puts his hands on his silvery skullcap.","%s puts his hands on his silvery skullcap."
115,other,"Your %s strikes %s for %d damage!","%s's %s strikes you for %d damage!","%s's %s strikes %s for %s damage!"
116,other,"The alcohol goes down smoothly.","",""
117,spell,"Your awareness returns to normal.","","Your eyes are tingling!"
118,other,"You summon the power of the eagle helm!","","%s's eagle helm glows softly!"
119,other,"You rub your jade amulet!","","%s rubs a jade amulet!"
120,other,"You rub your amethyst pendant!","","%s rubs an amethyst pendant!"
122,other,"You wrap yourself in the shadow cloak!","","%s pulls the shadow cloak closed!"
123,spell,"You cross your bracers!","%s crosses their bracers!","%s crosses their bracers!"
124,other,"A blazing inferno sears %sthe room for %d damage!","A blazing inferno sears you for %d damage!","A blazing inferno sweeps through the room!"
125,other,"You feel less powerful.","","You feel powerful!"
126,other,"You clench your fist.","","%s clenches a gauntleted fist!"
127,other,"%s is healed of %d damage!","You are healed of %d damage!","%s is healed of %s damage!"
128,other,"Dark energy drains %s for %d damage!","Dark energy drains you for %d damage!","Dark energy drains %s for %s damage!"
129,spell,"You point your opal ring at %s.","%s points an opal ring at you!","%s points an opal ring at %s!"
130,other,"You rub your belt of might!","","%s rubs a belt of might!"
131,other,"Your multicoloured sash flashes brightly!","","%s's multicoloured sash flashes brightly!"
132,spell,"Your quickness returns to normal.","","You feel evasive!"
133,other,"The wings on your sandals glow slightly!","","The wings on %s's sandals glow slightly!"
134,other,"Your shield flashes blindingly!","%s's shield flashes blindingly!","%s's shield flashes blindingly!"
135,other,"%s reels from the blow!","You reel from the blow!","%s reels from the blow!"
136,other,"A shining spark strikes %s for %d damage!","A shining spark strikes you for %d damage!","A shining spark strikes %s for %s damage!"
137,other,"A sinister aura surrounds your foe!","A sinister aura surrounds you!","A sinister aura pervades the room!"
138,spell,"Your ebony greataxe glitters darkly.","","%s's ebony greataxe glitters darkly."
139,other,"Dark flame sears %s for %d damage!","Dark flame sears you for %d damage!","Dark flame sears %s for %s damage!"
140,other,"Blue-white lightning strikes %s for %d damage!","Blue-white lightning strikes you for %d damage!","Blue-white lightning strikes %s for %s damage!"
141,spell,"You raise your thunderstaff up high!","%s raises a thunderstaff up high!","%s raises a thunderstaff up high!"
142,other,"%s takes %d lightning damage!","You take %d lightning damage!","%s takes %s lightning damage!"
143,other,"A withering blast of cold freezes %s for %d damage!","A withering blast of cold freezes you for %d damage!","A withering blast of cold freezes %s for %s damage!"
144,other,"%s shudders violently!","A deep chill creeps into your bones!","%s shudders violently!"
145,spell,"The chill fades away.","","You are chilled!"
146,other,"You %s %s viciously!","%s flays you viciously!","%s %ss %s viciously!"
147,other,"Venom sears %s for %d damage!","Venom sears you for %d damage!","Venom sears %s for %s damage!"
148,other,"A strange darkness engulfs %s!","A strange darkness engulfs you!","A strange darkness engulfs %s!"
149,other,"A brilliant beam zaps %s for %d damage!","A brilliant beam zaps you for %d damage!","A brilliant beam zaps %s for %s damage!"
150,other,"You point your sword at %s.","%s points their sword at you.","%s points their sword at %s."
151,other,"You quaff a %s, and your eyes tingle slightly!","","%s quaffs a blue potion."
152,other,"You quaff a %s, and feel MUCH better!","","%s quaffs a %s."
153,other,"You quaff a %s.","","%s quaffs a %s."
154,other,"You quaff a %s, and your body starts to tingle!","","%s quaffs a %s."
155,other,"Your throat burns as POWER surges through you!","","%s convulses in pain!"
156,other,"You quaff a frothing pink potion.","","%s quaffs a frothing pink potion."
157,other,"You quaff a %s. Your body starts to tingle!","","%s quaffs a %s."
158,spell,"The silvery aura fades.","","You are surrounded in a silvery aura!"
159,other,"You quaff an %s.","","%s quaffs an %s."
160,spell,"Your heroism wears off.","","You feel heroic!"
161,other,"Your body returns to normal.","","You feel safe from evil!"
162,other,"You rub a black orb.","","%s rubs a black orb."
163,spell,"Your legs return to normal.","","Your legs are petrified!"
164,other,"A massive explosion rocks %sthe room for %d damage!","A massive explosion blasts you for %d damage!","A massive explosion rocks %sthe room for %s damage!"
165,spell,"A gout of flame erupts from your iron tube!","A gout of flame erupts from %s's iron tube!","A gout of flame erupts from %s's iron tube!"
166,commands,"say faith","speak faith","answer faith"
167,other,"You say the word ""Faith"" out loud.","%s says the word ""Faith"" out loud.",""
168,other,"The %s snaps at you, but you dodge out of its way!","The %s snaps at you with its beak!","The %s %ssnaps at %s with its beak!"
169,other,"The %s claws you for %d damage!","The %s claws %s for %s damage!","The roc falls to the ground in a heap of feathers and blood."
170,other,"","","Nahr lets out a shriek of immense pain and suffering, and then vanishes!"
171,other,"The %s swings at you with its huge claws but you dodge out of the way!","The %s swings at you with its huge claws!","The %s %sswings at %s with its huge claws!"
172,commands,"pull lever","move lever","pull lev"
174,other,"You pull the lever.","%s pulls the lever.",""
175,other,"A %s crawls in from %s!","A %s crawls out to %s!","The %s follows you!"
176,other,"","","The roc hatchling lets out a squeal, and is dead."
177,other,"A %s leaps in from %s!","A %s leaps out to %s!","A %s follows you into the room."
178,other,"","","The roc lets out a high pitched scream, and falls to the floor, lifeless."
179,other,"The %s claws you, but your armour deflects the blow!","The %s %sclaws at %s, but %s armour deflects the blow!","The %s claws at you, but you dodge out of the way!"
180,other,"","","The grey wolf growls savagely, then dies."
181,other,"A %s leaps in from %s!","A %s leaps out to %s!","The grey guardian wolf leaps after you!"
182,other,"","","The grey guardian wolf utters a low growl, and dies."
183,other,"A %s walks into the room from %s!","A %s walks out to %s!","The nomadic huntsman follows you into the room!"
184,other,"","","The nomadic tribesman stares you down, and dies."
185,commands,"slash at","slashes at","slashes at"
186,other,"","","The nomadic hunter looks at you evilly, and dies."
187,other,"The %s slashes you with its claws for %d damage!","The %s slashes %s with its claws for %s damage!",""
188,other,"The %s snaps at %s with its teeth, but %s dodges!","The %s snaps at you with its huge teeth!","The %s snaps at %s with its huge teeth!"
189,other,"The ice sorceress floats in from %s!","The ice sorceress floats out to %s!","The ice sorceress follows you into the room!"
190,other,"","","Her illusion shattered, the ice sorceress falls as an old hag!"
191,other,"","The %s rears its head, and shrieks in fury!",""
192,spell,"","%s raises his staff in the air!",""
193,other,"","A quake rocks the room for %d damage!",""
194,spell,"You feel braver.","","You are too scared to flee!"
195,other,"","The %s beats his chest and roars deafeningly!",""
196,spell,"You become unfrozen.","","You are frozen to the ground!"
197,other,"","A wave of frost sweeps throughout the room!",""
198,spell,"","The %s makes a sweeping gesture.",""
199,other,"","The %s fires a withering %s at you for %d damage!","The %s fires a withering %s at %s for %s damage!"
200,other,"","The %s points a finger at you.","The %s points a finger at %s!"
201,cast,"","The %s casts %s on you!","The %s casts %s on %s!"
202,spell,"Your vision returns to normal.","","A black curse is upon you!"
203,other,"","The %s breathes its %s on you for %d damage!","The %s breathes its %s on %s for %s damage!"
204,other,"A %s stomps in from the %s.","The large yeti stomps out to the %s.","The large yeti stomps after you!"
205,other,"","","The large yeti collapses with a deafening howl."
206,other,"A nomadic chieftain charges in from %s!","The nomadic chieftain runs out to %s!","The nomadic chieftain charges after you!"
207,other,"The %s pounds you with its fists for %d damage!","The %s pounds %s with its fists for %s damage!",""
208,other,"The %s %sswings at %s, %sbut %s dodges out of the way!","The %s swings at you with its massive fists!","The %s %sswings at %s with its massive fists!"
209,commands,"pull rope","pull rope","yank rope"
210,commands,"twist crystal ball","turn crystal ball","turn crystal"
211,other,"You turn the crystal ball.","%s turns the crystal ball.",""
212,commands,"push button","push button","push button"
213,other,"You push the silver button.","%s pushes the silver button.",""
214,other,"The ice golem stomps in from the %s!","The ice golem stomps out to the %s!","The ice golem stomps in after you!"
215,other,"","","The ice golem collapses and shatters into hundreds of icy shards."
216,commands,"pull switch","push switch","pull switch"
217,commands,"pull switch","push switch","move switch"
218,other,"You pull the switch and the bookcase moves aside.","%s fiddles with the black tome and the bookcase moves aside.",""
219,commands,"move wall","push wall","press wall"
220,other,"You push the wall to the left a few feet.","%s moves the wall to the left a few feet!",""
221,other,"","The %s makes a sweeping gesture!",""
222,other,"","A freezing storm of ice surrounds you!",""
223,other,"You read the book, and the complex inscriptions cloud your mind!","","%s reads the silver-spined tome."
224,other,"As you read the thin grey tome, a flash of brilliant light erupts from it!","","%s reads the thin grey tome."
225,commands,"go hole","go stump","enter stump"
226,other,"You clamber into the burnt stump.","%s climbs through the hole in the burnt stump.","%s climbs out through the hole in the burnt stump."
227,spell,"You point your ice sceptre at %s!","%s points an ice sceptre at you!","%s points an ice sceptre at %s!"
228,other,"You pull down on the rope.","%s pulls down on the rope.",""
229,commands,"push stone","push opal","twist opal"
230,other,"You twist the opal stone!","%s twists the opal stone!",""
231,commands,"push button","push button","press button"
232,other,"You push the small stone button!","%s pushes the small stone button!",""
233,other,"As you sit on the throne a shimmering blue light surrounds you.","%s sits on the icy throne and a shimmering blue light fills the room.",""
234,spell,"You lay hands on %s.","%s lays hands on you!","%s lays hands on %s!"
235,other,"You %s %s wide open!","%s %ss you wide open!","%s %ss %s wide open!"
236,spell,"You stop bleeding.","","You are bleeding all over the place!"
237,other,"A stone golem stomps in from %s.","A stone golem stomps out to %s.",""
238,other,"The %s smashes you with its fist for %d damage!","The %s smashes %s with its fist for %s damage!","The stone golem crumbles into a pile of broken shards!"
239,other,"The %s smashes you with both fists for %d damage!","The %s smashes %s with both fists for %s damage!",""
240,other,"A %s stomps in from %s.","A %s stomps out to %s.","A %s charges after you!"
241,other,"The %s cleaves you for %d damage!","The %s cleaves %s for %s damage!","The minotaur falls dead with an agonized bellow!"
242,other,"A giant snake slithers in from %s.","The giant snake slithers out to %s.","The giant snake slithers after you!"
243,other,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The giant snake hisses loudly, and dies."
244,other,"A banshee slowly appears from the ether!","The banshee fades into nothingness.","The banshee floats after you!"
245,other,"","The %s shrieks mournfully!",""
246,spell,"You are too afraid to do that!","%s cowers in fear!","You are deathly afraid!"
247,spell,"You don't feel quite so afraid anymore.","","You are deathly afraid!"
248,other,"A minotaur chieftain stomps in from %s!","The minotaur chieftain stomps out to %s!","The minotaur chieftain charges after you!"
249,other,"The %s cleaves you for %d damage!","The %s cleaves %s for %s damage!","The minotaur chieftain curses at you spitefully, and dies!"
250,other,"A vampire rosebush moves in from %s!","The vampire rosebush moves out to %s!","The vampire rosebush uproots and follows you!"
251,other,"The %s whips you with a thorny stem for %d damage!","The %s whips %s with a thorny stem for %s damage!","The vampire rosebush is destroyed in a flurry of leaves."
252,other,"","Your blood is drained for %d damage!","%s's blood is drained for %s damage!"
253,other,"An archer bush moves in from %s!","The archer bush moves out to %s!","The archer bush moves after you!"
254,other,"The %s fires thorns at you for %d damage!","The %s fires thorns at %s for %s damage!","The archer bush breaks and falls apart."
255,other,"","The %s %s the area with thorns for %d damage!",""
256,other,"A %s thunders in from %s!","The %s thunders out to %s!","The animated tree comes after you!"
257,other,"The %s smashes you with a heavy limb for %d damage!","The %s smashes %s with a heavy limb for %s damage!","The animated tree cracks, falling to the ground with a deafening thump."
258,other,"The %s %sswings at you, but your armour deflects the blow!","The %s %sswings at %s, but %s armour deflects the blow!","The %s %sswings at you, but you %sdodge!"
259,other,"The %s %sswings at %s, %sbut %s dodges!","The %s %sswings at you with its %sbranches!","The %s %sswings at %s with its %sbranches!"
260,other,"A %s creeps in from %s!","The %s creeps out to %s!","The %s creeps after you!"
261,other,"The %s lashes you with a tendril for %d damage!","The %s lashes %s with a tendril for %s damage!","The carnivorous plant falls in a ruined heap."
262,other,"The %s %slashes at %s, %sbut %s dodges!","The %s %slashes at you with its %stendril!","The %s %slashes at %s with its %stendril!"
263,other,"","The %s %s on you for %d damage!","The %s %s on %s for %s damage!"
264,other,"A %s walks in from %s!","The %s walks out to %s!","The wood golem follows you!"
265,other,"The %s clubs you with its arm for %d damage!","The %s clubs %s with its arm for %s damage!","The wood golem explodes and falls into a pile of splinters."
266,other,"The snakes prevent your exit!","%s tries to leave, but the snakes prevent all exit!",""
267,other,"You climb through the slimy hole.","%s climbs through the slimy hole.",""
268,other,"A %s shambles in from %s!","The %s shambles out to %s!","The earth elemental follows you!"
269,other,"The %s smashes you with a huge fist for %d damage!","The %s smashes %s with a huge fist for %s damage!","The earth elemental quivers, and crumbles into a pile of dirt."
270,other,"","The %s fires a spray of %s at you for %d damage!","The %s fires a spray of %s at %s for %s damage!"
271,other,"A %s strides in from %s!","The %s strides out to %s!","The dark druid charges after you!"
272,other,"The %s smacks you for %d damage!","The %s smacks %s for %s damage!","The dark druid utters a low groan, and collapses."
273,other,"","The %s fires an %s at you for %d damage!","The %s fires an %s at %s for %s damage!"
274,cast,"","The %s casts %s on you for %d damage!",""
275,other,"The high druid strides in from %s!","The high druid strides out to %s!","The high druid charges after you!"
276,other,"The %s slices you for %d damage!","The %s slices %s for %s damage!","The high druid collapses with a furious cry!"
277,spell,"","The %s points at you and clenches his fist!","The %s points at %s and clenches his fist!"
278,other,"","A tower of flame engulfs you for %d damage!","A tower of flame engulfs %s for %s damage!"
279,spell,"You point your finger at %s and utter a harsh word!","%s points at you and utters a harsh word!","%s points at %s and utters a harsh word!"
280,other,"","You are inflicted with a hideous rotting disease!","%s is inflicted with a hideous rotting disease!"
281,other,"","A noxious cloud of poison fills the room!",""
282,other,"","A chaotic storm assaults you for %d damage!",""
283,spell,"","The %s makes a menacing gesture!",""
284,other,"You walk into a shimmering wall!","%s is blocked by a shimmering wall!",""
285,other,"You rub the darkwood ring, and are swept through the arch!","%s rubs a darkwood ring, and is swept through the arch!","%s appears through the arch!"
286,other,"A tingling sensation washes over you.","",""
287,other,"You step through the opaque field!","%s steps through the opaque field!",""
288,other,"","%s enters from an archway!",""
289,other,"You cannot do that right now!","",""
290,other,"As you touch the black gem, a crackling field of energy surrounds you!","%s touches the black gem, and is consumed in a crackling field of energy!",""
291,other,"","%s appears in a flash of blue light!",""
292,other,"Your body is wracked with pain!","",""
293,spell,"You are no longer blind and dizzy.","","You are blind and dizzy!"
294,commands,"twist knot","turn knot",""
295,other,"You twist a large knot on the darkwood tree.","%s twists a large knot on the darkwood tree.",""
296,commands,"push knot","",""
297,other,"You push a large knot on the darkwood tree.","%s pushes a large knot on the darkwood tree.",""
298,other,"A %s strides in from %s!","The %s strides out to %s!","The black orc captain charges after you with a cry!"
299,other,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The black orc captain falls, spitting up dark blood!"
300,other,"The %s all-out slashes you for %d damage!","The %s all-out slashes %s for %s damage!",""
301,other,"A %s sidles in from %s!","The %s walks out to %s!","The black orc shaman follows you!"
302,other,"The %s smacks you for %d damage!","The %s smacks %s for %s damage!","The black orc shaman collapses with a guttural cry!"
303,cast,"","The %s casts %s on you for %d damage!","The %s casts %s on %s for %s damage!"
304,cast,"","The %s casts %s on you!","The %s casts %s on %s!"
305,other,"","The %s fires a %s at you for %d damage!","The %s fires a %s at %s for %s damage!"
306,other,"A %s strides in from %s!","The %s strides out to %s!","The dark goblin warlock charges after you!"
307,other,"The %s slices you for %d damage!","The %s slices %s for %s damage!","The dark goblin warlock collapses with a shrill cry!"
308,other,"The slave-master stomps in from %s!","The slave-master stomps out to %s!","The slave-master runs after you!"
309,other,"The %s lashes you for %d damage!","The %s lashes %s for %s damage!","The slave-master topples to the ground with an indignant cry!"
310,other,"The %s all-out lashes you for %d damage!","The %s all-out lashes %s for %s damage!",""
311,other,"A werewolf runs in from %s!","The werewolf runs out to %s!","The werewolf runs after you!"
312,other,"The %s rips you for %d damage!","The %s rips %s for %s damage!","The werewolf growls loudly, and falls, reverting to his human form!"
313,other,"The %s kicks you with its clawed feet for %d damage!","The %s kicks %s with its clawed feet for %s damage!",""
314,other,"The %s %skicks at you, but your armour deflects the blow!","The %s %skicks at %s, but %s armour deflects the blow!","The %s %skicks at you, but you dodge!"
315,other,"The %s %skicks at %s, %sbut %s dodges!","The %s %skicks at you with its clawed feet!","The %s %skicks at %s with its clawed feet!"
316,other,"The %s leaps on you and tears your throat for %d damage!","The %s rips %s's throat for %s damage!",""
317,cast,"The healer casts minor healing on you!","The healer heals you of %d damage!","The healer heals %s of %s damage!"
318,other,"You cannot afford that service.","%s attempts to purchase a service, but has no money.",""
319,cast,"The healer casts cure poison on you!","","The %s casts %s on %s!"
320,cast,"The healer casts cure disease on you!","","The healer casts cure disease on %s!"
321,cast,"The healer casts remove curse on you!","","The healer casts remove curse on %s!"
322,other,"The healer materializes from the shadows!","The healer walks out to %s!",""
323,other,"The %s smacks you for %d damage!","The %s smacks %s for %s damage!","The healer disappears in a flash!"
324,other,"","The %s strikes you with a %s for %d damage!","The %s strikes %s with a %s for %s damage!"
325,cast,"","The %s casts %s on you!","The %s casts %s on %s!"
326,cast,"","The %s casts %s on you!","The %s casts %s on %s!"
327,commands,"push switch","",""
328,other,"You push the switch, and you hear a loud grinding noise!","%s fiddles around inside the filthy pipe!",""
329,other,"The mad wizard walks in from %s!","The mad wizard walks out to %s!",""
330,other,"The %s smacks you for %d damage!","The %s smacks %s for %s damage!","The mad wizard looks confused, and dies!"
331,other,"","The %s fires a %s at you for %d damage!","The %s fires a %s at %s for %s damage!"
332,other,"","The %s throws a %s, which explodes for %d damage!",""
333,other,"A gout of flame belches from the pipe, scorching you with fire!","A gout of flame belches from the pipe, scorching  %s with fire!",""
334,other,"You pull the switch.","%s fiddles around inside the pipe.",""
335,other,"As you push the hidden stone, you hear a slight click!","%s pushes a stone on the wall!",""
336,commands,"push stone","move stone","push rock"
337,other,"As you push the button, the face's toothy jaw creaks open!","%s does something in the eye socket of the face, and its jaws open!",""
338,verbs,"smash|crush|bludgeon","smashes|crushes|bludgeons","smashes|crushes|bludgeons"
339,other,"A cyclops thunders in from %s!","The cyclops thunders out to %s!",""
340,other,"The %s smashes you for %d damage!","The %s smashes %s for %s damage!","The cyclops topples to the ground, and explodes in greenish fire!"
341,other,"","The cyclops' gaze sears you with green fire for %d damage!","The cyclops' gaze sears %s with green fire for %s damage!"
342,other,"The %s slams you with its fist for %d damage!","The %s slams %s with its fist for %s damage!",""
343,other,"The %s picks you up and slams you on the ground for %d damage!","The %s slams %s on the ground for %s damage!",""
344,other,"Dhelvanen says, ""You don't have that item!""","Dhelvanen says to %s, ""You don't have that item!""",""
345,other,"You give Dhelvanen some spider silk.","%s gives Dhelvanen some spider silk.",""
346,other,"Dhelvanen gives you a green potion.","Dhelvanen gives %s a green potion.",""
347,other,"You give Dhelvanen a cyclops eye.","%s gives Dhelvanen a cyclops eye.",""
