mob_id,mob_name,death_msg_id,sentence
172,glittering ooze,435,The glittering ooze solidifies and breaks into pieces!
173,wounded worker,449,"The wounded worker lets out a loud cry, and dies!"
174,dark bishop,456,"The dark bishop utters an agonized howl, and is consumed in black flame!"
175,alchemist,459,"The alchemist spits up blood, and dies!"
176,dark wizard,465,"The dark wizard utters a loud cry, and disintegrates!"
177,prisoner,466,"The prisoner moans softly, and dies."
178,master assassin,476,"The master assassin eyes you evilly, and vanishes through a wall!"
180,Champion of Blood,486,A greater hellion bursts forth from the vortex of flames!
181,greater hellion,495,"The hellish creature roars in fury, and explodes in a shower of flame!"
182,baby red dragon,526,"The baby dragon squeals piercingly, and collapses!"
183,young red dragon,527,"The young dragon roars in fury, and collapses with a crash!"
184,adolescent red dragon,2707,The adolescent dragon snaps at you with its fangs before dying.
185,adult red dragon,529,"The red dragon utters a heart-wrenching roar, and flies away to safety!"
186,aged titan,609,"The aged titan frowns darkly, and vanishes!"
187,raven,2671,Sensing itself near death the bird flies off!
188,bluejay,2671,Sensing itself near death the bird flies off!
189,cardinal,2671,Sensing itself near death the bird flies off!
191,huge gruesome creation,2705,The monster explodes showering you with severed arms and gore!
192,giant bat,8483,"The giant bat squeaks loudly, and falls to the ground!"
194,Kotar Bloodthorn,2706,Kotar bows in your direction and slips into the shadows.
195,red dragon hatchling,516,"The dragon hatchling hisses loudly, and falls dead!"
196,dark-elf courser,1298,"The dark-elf takes one last swing at you, and dies with a growl."
198,priest,833,"With a flash of light, the holy person vanishes."
199,priestess,833,"With a flash of light, the holy person vanishes."
201,roc,178,"The roc lets out a high pitched scream, and falls to the floor, lifeless."
202,nomadic tribesman,184,"The nomadic tribesman stares you down, and dies."
203,grey wolf,180,"The grey wolf growls savagely, then dies."
204,grey guardian wolf,182,"The grey guardian wolf utters a low growl, and dies."
205,nomadic huntsman,186,"The nomadic hunter looks at you evilly, and dies."
207,nomadic huntsman,186,"The nomadic hunter looks at you evilly, and dies."
208,nomadic shaman,184,"The nomadic tribesman stares you down, and dies."
209,large yeti,205,The large yeti collapses with a deafening howl.
210,nomadic chieftan,619,"The nomadic chieftain utters a blood-curdling yell, and dies!"
211,ice golem,215,The ice golem collapses and shatters into hundreds of icy shards.
212,fire assassin,2782,The assassin swings at you one last time before vanishing.
213,mosquito swarm,2282,The swarm disperses back into the jungle as quickly as it formed.
214,Templar,830,The Templar falls to the ground with a groan and the clatter of platemail.
215,Zanthus the Lich,3146,"The lich cackles at you, and takes spirit form!"
216,Demoness Irikani,3091,"With a hideous shriek the demoness dies, turning to ash!"
217,elite orc guard,47,"The elite orc guard spits up blood, and dies!"
218,orc warleader,646,"The orc warleader eyes you evilly, and spits at your feet as he falls!"
219,displacer beast,664,"The displacer beast growls loudly, and collapses!"
220,manticore,670,"The manticore utters a deafening bellow, and dies!"
221,gargoyle,679,"The gargoyle reaches for you, then disintegrates into dust!"
222,gorgon,686,"The gorgon utters a low bellow, and falls to the ground!"
223,harpy,695,"The harpy lets out a bloodcurdling screech, and plummets to the ground!"
224,gnoll scout,697,"The gnoll scout lets out a sharp cry, and falls dead!"
225,gnoll axeman,702,"The gnoll axeman drops his weapon, throws up blood, and collapses!"
226,hill centaur,706,"The centaur slumps forward with a moan, and dies!"
227,brigand,710,"The brigand gasps loudly, clutches its chest, and dies!"
228,dark monk,714,"The dark monk bursts into black flame, and vanishes!"
229,ankheg,725,"The ankheg curls up and dies, its body fluids leaking badly."
230,bombardier beetle,728,The bombardier beetle dies in a cloud of reddish vapour!
231,carrion crawler,734,"The carrion crawler collapes, spouting blackish ichor."
232,umber hulk,737,"The umber hulk lets out a high-pitched sound, and collapses!"
233,mermex hunter,746,"The mermex utters a piercing squeal, and breaks open!"
234,mermex warrior,746,"The mermex utters a piercing squeal, and breaks open!"
235,mermex worker,746,"The mermex utters a piercing squeal, and breaks open!"
236,mermex royal guard,746,"The mermex utters a piercing squeal, and breaks open!"
237,gnoll chieftain,757,"The gnoll chieftain utters a cry of disbelief, and falls dead!"
238,Madame Alexia,2662,The woman shrieks for aid and falls to the ground.
239,silvery skull,903,The silvery skull explodes in a shower of sparks!
240,mermex queen,776,"The hideous mermex queen shrieks, and collapses in a fountain of gore!"
241,giant pulsating cocoon,788,"The cocoon bursts with a disgusting wet pop, spraying white pus all over!"
242,cocoon,788,"The cocoon bursts with a disgusting wet pop, spraying white pus all over!"
245,royal soldier,802,"The royal soldier clutches his gut, and dies!"
246,Commander Markus,804,"Commander Markus eyes you bitterly, spits up blood, and dies!"
247,Jael,8465,"Aiken utters a sharp cry, and dies."
248,barmaid,846,"The barmaid lets out a loud yell, and dies!"
249,hooded traveller,8465,"Aiken utters a sharp cry, and dies."
250,nasty-looking man,8465,"Aiken utters a sharp cry, and dies."
252,shopkeeper,844,"The shopkeeper utters one last pathetic whine, and dies."
253,greasy thief,845,"The thief cries a bit, then collapses in a pathetic heap."
254,barmaid,846,"The barmaid lets out a loud yell, and dies!"
255,greedy healer,847,"The greedy healer clutches at his purse, and collapses!"
256,grizzled trainer,848,"The grizzled trainer laughs as if he doesn't care, then dies."
257,huge dwarven witchunter,849,"The huge dwarven witchunter eyes you evilly, and dies!"
258,dark monk,714,"The dark monk bursts into black flame, and vanishes!"
259,drunken brawler,857,"The drunken brawler vomits all over himself, and collapses."
260,cutpurse,858,"The cutpurse tries to flee, but you cut him down."
261,depraved murderer,859,"The depraved murderer laugh maniacally, and coughs up blood!"
262,crazed lunatic,861,"The crazed lunatic hugs his dead cat, and dies."
263,Balthazar,8465,"Aiken utters a sharp cry, and dies."
264,fungus lizard,906,"The lizard hisses one last time, and spits up venom!"
265,vampire bat,907,"The vampire bat utters a heart-wrenching shriek, and falls dead!"
266,silverfish,910,"The silverfish struggles violently for a moment, then dies."
267,dragonfish,912,"The dragonfish begins to steam and bubble, and explodes!"
268,water elemental,914,The water elemental dissipates in a swirling vortex.
269,night hag,918,"The night hag utters a shrill curse, and vanishes in a puff of smoke!"
270,quickling,930,The quickling drops to the ground clutching its wounds.
271,imp,932,"The imp squeals loudly, and disappears in a flash of flame!"
272,bloodbear,935,"The bloodbear utters a deafening howl, and collapses!"
273,killer bee,939,"The killer bee falls to the ground, lifeless and oozing."
274,huorn,941,"The huorn groans loudly, and smashes to the ground!"
275,pixie,943,"The pixie squeaks loudly, and vanishes!"
276,leprechaun,946,"The leprechaun chuckles softly, and vanishes."
277,grizzly bear,948,"The grizzly bear moans in pain, and dies."
278,ancient willow,956,The ancient willow splits open with a deafening crack!
279,huorn,941,"The huorn groans loudly, and smashes to the ground!"
280,huorn,941,"The huorn groans loudly, and smashes to the ground!"
281,quickling lord,968,"The quickling lord shrieks in fury, and dies in a paroxysm of pain!"
282,faerie,971,"The faerie utters a shrill cry, and disappears in a cloud of faerie dust!"
283,treant,973,"The treant lets out a resounding moan, and collapses with a crash!"
284,unicorn,975,"The unicorn whinnies loudly, and collapses!"
285,woodelf ranger,978,The woodelf collapses with a groan.
286,woodelf druid,980,"The woodelf utters a sharp cry, and dies."
287,woodelf citizen,984,The woodelf dies with a sharp cry.
288,woodelf citizen,984,The woodelf dies with a sharp cry.
289,woodelf guard,986,"The woodelf guard yells loudly, then collapses with a clatter!"
290,woodelf wardancer,978,The woodelf collapses with a groan.
291,woodelf wardancer,978,The woodelf collapses with a groan.
292,woodelf lord,992,"The woodelf lord eyes you pitiously, and dies."
293,war dog,995,"The dog howls rabidly, and dies with a shudder."
294,hobgoblin,998,"The hobgoblin glares at you in hate, and spits up blood."
295,half-ogre guard,1001,"The half-ogre guard yells for aid, then dies clutching his gut!"
296,ogre grunt,1005,"The ogre roars in pain, and topples to the ground!"
297,ogre-mage,1008,"The ogre-mage tries to cast one more spell, but shrieks and dies!"
298,white dragon serpent,1012,"The dragon serpent lets out a long hiss, and dies choking."
299,black dragon serpent,1012,"The dragon serpent lets out a long hiss, and dies choking."
300,green dragon serpent,1012,"The dragon serpent lets out a long hiss, and dies choking."
301,blue dragon serpent,1012,"The dragon serpent lets out a long hiss, and dies choking."
302,red dragon serpent,1012,"The dragon serpent lets out a long hiss, and dies choking."
303,lamia,1021,"The lamia wails loudly, and falls dead!"
304,twisted one,1023,"The twisted one seems almost to smile, and falls dead."
305,small gibbering horror,1025,The gibbering horror's lumpy body splits open grotesquely.
306,gibbering horror,1025,The gibbering horror's lumpy body splits open grotesquely.
307,large gibbering horror,1025,The gibbering horror's lumpy body splits open grotesquely.
308,ghost,1029,"The ghost sighs in relief, and vanishes."
309,crimson mist,1037,The crimson mist suddenly solidifies and vanishes in a shower of blood!
310,shadowraith,1043,"The shadowraith splinters, and dissolves into the shadows."
311,Goru-Nezar,1045,"Goru-Nezar holds up his staff, shrieks, and explodes with a blast!"
312,huge basilisk,1055,"The basilisk hisses in pain, and turns to stone."
313,chimera,1057,"The chimera howls and hisses in pain, and slumps down bleeding."
314,beholder,1063,The beholder suddenly swells up and explodes in a release of magic!
315,prismatic dragon,1067,"The prismatic dragon shrieks in fury, and dies in a flare of light!"
316,frost hydra,1071,"The frost hydra topples to the ground, its last head severed."
317,wraithlord,1077,"The wraithlord utters a wailing screech, and vanishes!"
318,unholy idol,1105,"The unholy idol shatters, its evil magic destroyed."
319,cave lizard,1167,"The lizard hisses at you, and dies."
320,mutant spider,1169,"The mutant spider utters a piercing squeal, and dies."
321,mind flayer,1175,The mind flayer collapses into a puddle of blackish goo.
322,dark-elf hunter,1176,"The dark-elf staggers for a moment, then collapses."
323,drider,1179,The drider hisses evilly and its spidery legs curl up around its body.
324,hordeling,1185,The hordeling screeches violently!
325,nexus hunter,1188,"The nexus hunter lunges in desperation, and collapses!"
326,planar storm,1194,The planar storm dissipates in a whirling vortex!
327,terror beast,1196,"The terror beast plummets to the ground, dead."
328,behemoth,1199,"The behemoth utters a resounding bellow, falling with a thundering crash!"
329,Lord of the Hunt,1207,"The Lord of the Hunt laughs contemptuously, and vanishes in a flash!"
330,gnome sentry,1291,"The gnome sentry grunts in pain, and keels over."
331,gnome shaman,1294,"The gnome shaman tries one last spell, but dies!"
332,gnome commander,1296,"The gnome commander spits up blood, and collapses."
333,dark-elf hunter,1176,"The dark-elf staggers for a moment, then collapses."
334,dark-elf soldier,1298,"The dark-elf takes one last swing at you, and dies with a growl."
335,dark-elf faithkeeper,1299,"The dark-elf shouts for aid, and dies!"
336,dark-elf citizen,1299,"The dark-elf shouts for aid, and dies!"
337,dark-elf nobleman,1298,"The dark-elf takes one last swing at you, and dies with a growl."
338,dark-elf servant,1299,"The dark-elf shouts for aid, and dies!"
339,dark-elf warlock,1301,"The dark-elf warlock snarls in pain, and collapses!"
340,dark-elf priestess,1306,"The priestess calls upon her goddess, but is forsaken!"
341,dark-elf high priestess,1306,"The priestess calls upon her goddess, but is forsaken!"
342,dark-elf weaponsmaster,1307,"The weaponsmaster shrieks in righteous indignation, and collapses!"
343,dark-elf queen,1316,"The dark-elf queen shrieks in fury, and vanishes in a shimmering light!"
344,master torturer,1318,"The master torturer laughs like a lunatic, and spits up blood!"
345,dark-elf archmage,1321,The dark-elf archmage shrieks in fury!
346,captain of the guard,1323,"The captain of the guard eyes you evilly, and collapses."
347,obsidian statue,1324,The obisidan statue shatters into a thousand pieces.
349,slime serpent,1326,The slime serpent curls up and floats to the bottom.
350,dark-elf royal guard,1302,"The royal guard hurls his sword at you in desperation, and dies!"
351,guardian beast,1327,"The guardian beast shrieks in rage, and collapses with a thud!"
352,slaver,1329,The slaver falls to the ground with a groan. Good riddance.
354,guard dog,1334,"The guard dog snarls nastily, and dies."
355,prisoner,1335,The prisoner dies with a contented sigh.
356,slave lord,1336,"The slaver lord hurls his blade at you, and collapses in pain!"
357,dark-elf emissary,1176,"The dark-elf staggers for a moment, then collapses."
358,wererat,1339,"The wererat squeals in agony, and dies!"
359,wererat shaman,1341,"The wererat shaman shrieks a curse at you, and dies!"
360,wererat champion,1342,"The wererat champion shrieks in rage, and dies in a bloody spasm!"
361,wererat plague-crafter,1344,"The plague-crafter fumbles for one of its flasks, but falls dead!"
362,plagued prisoner,1335,The prisoner dies with a contented sigh.
364,wererat emissary,1342,"The wererat champion shrieks in rage, and dies in a bloody spasm!"
365,dying slaver leader,1332,"The slaver leader dies easily, blood spurting from his wounds."
366,Remik of the Ebon Blade,2837,The ninja bows to you silently before vanishing into the smoke.
368,feline prisoner,3147,"The prisoner looks suddenly at peace, as their life escapes them."
369,fallen angel,1358,The fallen angel bursts apart in whirlwind of fire.
371,crimson high priest,3133,The wicked old man is consumed in a torrent of dark flame!
372,Devil Fiend Malivek,495,"The hellish creature roars in fury, and explodes in a shower of flame!"
373,shard creature,1445,"The shard creature squeals shrilly, and falls dead!"
374,metallic monstrosity,1450,The alien monstrosity falls to the ground with an earth-shaking thump!
375,aurumvorax,1456,"The aurumvorax growls in pain, and falls with a thud."
376,wild dog,8352,"The dog yelps loudly, and dies."
377,wild dog,8352,"The dog yelps loudly, and dies."
378,bandit,8350,"The bandit eyes you evilly, and dies."
379,warlock bandit,8350,"The bandit eyes you evilly, and dies."
380,bandit leader,1457,"The bandit leader grunts in pain, and doubles over."
381,dwarven merchant,1463,"The dwarf screams, ""You'll never get my wares!"", and blows himself up!"
382,bodyguard,1464,"The dwarven bodyguard makes a last desperate swing, then falls dead!"
383,wandering cleric,1466,"The cleric of Aerdwyne eyes you balefully, and collapses!"
386,old gypsy man,1473,The gypsy falls to the ground with a curse.
387,young gypsy,1474,The gypsy collapses with a curse.
388,catoblepas,1494,"The catoblepas grunts loudly, and falls into the marsh with a splash."
389,swamp leech,1497,The swamp leech dies with a squirt of vile fluid.
390,crocodile,1498,"The crocodile grunts, rolls over in the water, and dies."
391,giant crocodile,1498,"The crocodile grunts, rolls over in the water, and dies."
392,swamp troll,8572,"The troll spits up some black blood, and dies!"
393,giant two-headed troll,1500,The giant two-headed troll collapes with a thunderous roar.
394,huge black dragon,1501,"The black dragon shrieks in rage, rears up, and collapses with a crash!"
395,dwarven guard,1505,"The dwarven guard shouts for aid, clutches his stomach, and falls dead!"
396,dwarven guard,1505,"The dwarven guard shouts for aid, clutches his stomach, and falls dead!"
397,gnome villager,1507,"The gnome cries out in pain, and falls dead."
398,gnome farmer,1507,"The gnome cries out in pain, and falls dead."
399,gnome shopkeeper,1507,"The gnome cries out in pain, and falls dead."
400,gnome inventor,1507,"The gnome cries out in pain, and falls dead."
401,gnome alchemist,1507,"The gnome cries out in pain, and falls dead."
402,gnome enchantress,1507,"The gnome cries out in pain, and falls dead."
403,centipede,1514,"The giant centipede stops moving, black blood leaking from its corpse."
404,kobold,1515,The kobold falls to the ground with a shriek!
405,kobold warrior,1516,"The kobold squeals in rage, and dies!"
406,kobold king,1517,"The king of the mountain kobolds shrieks in despair, and falls dead!"
407,barrow wight,1519,"The barrow wight's robe falls to the ground, suddenly empty."
408,tortured spirit,1521,"The tortured spirit vanishes quickly, a slight smile on its face."
409,spectral knight,1522,"The spectral knight smiles wanly, and dissipates."
410,spore zombie,1544,The spore zombie crumbles to pieces.
411,pale mushroom,1545,The pale mushroom crumbles into bits.
412,myconid,1546,The myconid collapses with with a puff of spores.
413,dark-elf harvester,1547,"The dark-elf harvester falls dead, clutching his precious bag."
415,salamander,1555,The salamander shrivels up in a burst of flame.
416,efreeti,1558,"The efreeti roars, and disappears in a whirlwind of fire!"
417,dwarven cleric,1561,"The dwarven cleric falls, clutching in agony."
418,dwarven warrior,1562,"The dwarven warrior attempts one last swing, but falls dead!"
419,dwarf,1563,"The dwarf falls to the ground, blood spilling from his wounds!"
420,dwarven smith,1565,"The dwarven smith stumbles forward in rage, but falls dead!"
421,dwarven shopkeeper,1563,"The dwarf falls to the ground, blood spilling from his wounds!"
422,dwarven miner,1563,"The dwarf falls to the ground, blood spilling from his wounds!"
423,dwarven barkeep,1563,"The dwarf falls to the ground, blood spilling from his wounds!"
424,dwarven royal guard,1567,"The royal guard hurls his axe, and falls dead!"
425,dwarven nobleman,1566,"The dwarven nobleman shouts for the guards, and falls!"
426,dwarven royal guard,1567,"The royal guard hurls his axe, and falls dead!"
427,dwarven warrior,1562,"The dwarven warrior attempts one last swing, but falls dead!"
428,dwarven healer,1561,"The dwarven cleric falls, clutching in agony."
429,Champion Gudruk,1562,"The dwarven warrior attempts one last swing, but falls dead!"
430,King Kulgar,1562,"The dwarven warrior attempts one last swing, but falls dead!"
431,Loremaster Thulgraf,1507,"The gnome cries out in pain, and falls dead."
432,Master Smith Martok,1562,"The dwarven warrior attempts one last swing, but falls dead!"
433,dwarven royal guard,1567,"The royal guard hurls his axe, and falls dead!"
434,ancient sand dragon,1601,"The ancient sand dragon shrieks, defeated, and flies off over the desert!"
435,ancient sand dragon,1599,"With a sweep of its tail, the sand dragon knocks you off of the edge!"
436,troglodyte,1577,"The troglodyte hisses in pain, and falls dead!"
437,troglodyte leader,1577,"The troglodyte hisses in pain, and falls dead!"
438,rock eater,1581,"The rock eater spits up some stones, and falls dead."
439,margoyle,1582,"The margoyle cracks into pieces, which disintegrate!"
440,white scorpion,1584,"The scorpion shudders and falls dead, leaking black fluid."
441,black pudding,1587,"The black pudding stops moving, its body disrupted and splattered."
442,giant slug,1589,"The giant slug curls up, oozing disgusting slime."
443,purple worm,1592,"The giant worm spews up its meal, and dies."
444,dwarf,1563,"The dwarf falls to the ground, blood spilling from his wounds!"
445,dwarven miner,1563,"The dwarf falls to the ground, blood spilling from his wounds!"
446,dwarven warrior,1562,"The dwarven warrior attempts one last swing, but falls dead!"
447,Kai Master,1607,"The Kai Master smiles, and leaps into a fighting stance!"
449,quaggoth,1613,"The quaggoth shudders and roars, then falls dead!"
450,quaggoth thonot,1613,"The quaggoth shudders and roars, then falls dead!"
451,quaggoth jald,1619,"The quaggoth hurls its hammer in desperation, and falls dead!"
452,huge obsidian golem,1620,The obsidian golem explodes in a shower of shards!
453,stone elemental,1627,The stone elemental crumbles to dust.
454,gemstone juggernaut,1628,"The gemstone juggernaut crumbles into a pile of gems, which melt away."
455,duergar warrior,1638,"The duergar spits up blood, and falls dead!"
456,duergar lord,1643,"The duergar lord clutches a black talisman, and vanishes in a flash!"
457,dwarf warrior,1644,"The dwarf's head splits open grotesquely, and a small creature leaps out!"
458,dwarf warrior,1645,The dwarf's form shifts and changes into an amorphous beast!
459,brain eater,1646,The brain-eater splatters with the final blow.
460,shapeshifter,1648,The shapeshifter dissolves into a pile of steaming goo.
461,winged demon,1649,The winged insectile demon crumples to the ground with a whistling cry.
462,rotting monstrosity,1655,"The rotting monstrosity falls dead, oozing out pus and bile."
464,shifty dwarf,1563,"The dwarf falls to the ground, blood spilling from his wounds!"
465,Champion Gudruk,1687,"Champion Gudruk snarls at you in fury, and dies spitting up blood!"
466,Ghost of Trader Tull,8422,"The spirit gasps loudly, sighs, and disappears."
467,purple slime,1705,The purple slime splits open with a chill burst of air.
468,green slime,1706,The green slime bursts open with a rancid smell.
469,red slime,1707,"The red slime bursts into flame, and dissipates in a cloud of steam."
470,azure slime,1708,The azure slime pops open with the sharp smell of ozone.
471,white jelly,1709,The white jelly splits open with a disgusting pop.
472,zombie cat,1717,"The zombie cat coughs up a hairball, and falls lifelessly."
473,rotworm,1718,"The rot worm pukes up black bile, and dies in writhing anguish."
474,leprous outcast,1719,"The leprous outcast falls dead, clutching spastically at the air."
475,dark dabbler,1722,"The dark dabbler clutches at his head in pain, and slumps down dead!"
476,thief,1729,The thief collapses with a grunt.
477,smuggler,1730,"The smuggler spits up blood, and falls dead!"
478,smuggler boss,1731,"The smuggler boss lunges at you, but trips and falls dead."
479,half-orc sentry,1735,"The half-orc sentry shouts for aid, and falls dead!"
480,orc warrior,1736,"The orc warrior growls in hatred, and collapses."
