spell_id,spell_name,start,stop,desc_msg_id,cast_start_self,cast_start_target,cast_start_room,start_msg_id
261,flame shower,,,,,The %s raises its arms in the air!,,490
262,engulf in flame,You are engulfed in flames!,The flames enveloping you die down.,493,,The greater hellion points at you with a bony claw!,The %s points at %s with a bony claw!,492
264,mystic mist,You are confused!,The effects of confusion wear off!,8538,,The %s makes a sweeping gesture.,,198
269,song of life,You are healing faster!,The song of life wears off.,603,,,,
270,song of silence,You are silenced!,You can talk again!,78,,,,
271,song of lethargy,You feel slow!,You speed up.,8536,,,,
272,song of quickness,You feel fast!,You slow down.,8537,,,,
274,song of stunning,You are stunned!,You are no longer stunned.,57,,,,
275,song of shockwave,,,,You play an angry tune!,%s plays an angry tune!,%s plays an angry tune!,605
276,song of heroism,You feel heroic!,The feeling of heroism wears off.,559,,,,
278,song of evasion,You are protected from attack!,Your evasiveness wears off.,561,,,,
279,note of destruction,,,,You place the battlehorn to your lips and blow a single note!,,%s places the battlehorn to their lips and blows a single note!,2680
281,mana storm,,,,You make a complex gesture!,%s makes a complex gesture!,%s makes a complex gesture!,564
282,solid fog,You feel slow!,You speed up.,8536,You raise your hands in the air!,%s makes a sweeping gesture!,%s makes a sweeping gesture!,566
283,wind of haste,You feel fast!,You slow down.,8537,You raise your hands in the air!,%s makes a sweeping gesture!,%s makes a sweeping gesture!,568
284,corrosion,You feel vulnerable!,You feel safer now.,81,You make an arcane gesture!,%s makes an arcane gesture!,%s makes an arcane gesture!,570
286,mystic mist,You are confused!,The effects of confusion wear off!,8538,,The %s makes a sweeping gesture.,,198
287,spirit horde,,,,You scatter some ashes in a sweeping motion!,%s scatters some ashes in a sweeping motion!,%s scatters some ashes in a sweeping motion!,572
288,dragonfire,,,,You make a complex circling gesture!,%s makes a complex circling gesture!,%s makes a complex circling gesture!,578
289,stoneskin,Your skin is as hard as stone!,Your skin returns to normal.,579,,,,
291,creeping doom,You are covered in deadly insects!,The insects biting and stinging you die off.,580,,,,
292,maelstrom,,,,You make a sweeping gesture!,%s makes a sweeping gesture!,%s makes a sweeping gesture!,552
294,plague,You are plagued!,The plague dies down.,584,You make an arcane gesture!,%s makes an arcane gesture!,%s makes an arcane gesture!,583
295,earthquake,,,,You make a sharp gesture!,%s makes a sharp gesture!,%s makes a sharp gesture!,586
297,way of the tortoise,You feel tough!,The way of the tortoise wears off.,589,,,,
298,way of the bear,"You feel strong, but clumsy!",The way of the bear wears off.,590,,,,
299,way of the cobra,You feel ill.,The effects of the poison wear off!,8575,You jab %s with a vicious strike!,%s jabs you viciously!,%s jabs %s viciously!,591
300,hypnotic hands,You are confused!,The effect of hypnotic hands wears off.,593,You move your hands about in an intricate pattern!,%s weaves an intricate pattern in the air!,%s weaves an intricate pattern in the air!,595
301,way of the exploding fist,,,,You deliver a swift punch to %s!,%s punches you viciously!,%s delivers a swift punch to %s!,597
302,pressure points,You are using pressure points!,You stop using pressure points.,599,,,,
303,hand of death,You are affected by hand of death!,The effects of hand of death wear off.,602,You place your palm on %s's chest!,%s places a palm on your chest!,%s places a palm on %s's chest!,601
304,zeal,You are filled with divine power!,The righteousness wears off.,816,,,,
305,smoke bomb,You are blind!,You can see again!,8534,,,,
307,globe of invulnerability,You are protected by a globe of invulnerability!,The globe of invulnerability shimmers and fails.,638,You move both arms in a circling gesture.,%s moves both arms in a circling gesture.,%s moves both arms in a circling gesture.,623
308,sphere of isolation,You are surrounded by a mirrored sphere!,The mirrored sphere surrounding you vanishes with a loud pop!,639,You make a short chopping gesture.,%s makes a short chopping gesture.,%s makes a short chopping gesture.,625
309,ethereal chains,You are restrained by silvery manacles!,The silvery manacles restraining you shimmer and fade.,640,You make a quick grasping gesture.,%s makes a quick grasping gesture.,%s makes a quick grasping gesture.,626
311,judgement of doom,"You have been Judged, your doom is upon you!",Your judgement of doom has been lifted.,876,You sketch a mystical symbol in the air.,%s sketches a mystical symbol in the air.,%s sketches a mystical symbol in the air.,631
312,Eye of Magnus,The Eye of Magnus watches over you.,The glowing eye floating above your head vanishes in a puff of smoke.,641,You pass your hands over your eyes.,%s makes a complex gesture.,%s makes a complex gesture.,633
314,combat fury,You are consumed by a berserker fury!,The berserker fury consuming you subsides.,642,You sketch a sharp symbol in the air.,%s sketches a sharp symbol in the air.,%s sketches a sharp symbol in the air.,637
318,knockdown,You are flat on your back!,You get back on your feet.,648,,,,
319,firebomb,,,,,The %s hurls a clay flask!,,652
321,drops,,,,,"The %s lifts you high into the air, then drops you!","The %s lifts %s high into the air, then lets go!",677
322,breathes a greenish cloud,You are partially petrified!,Your body returns to normal.,88,,,,
323,diseased,You are diseased!,The disease dies down.,692,,,,
327,paralyzed,You are paralyzed!,The paralysis wears off!,731,,,,
328,gazes,You are confused!,The effects of confusion wear off!,8538,,,,
329,thin tendrils,You are bound by sticky threads!,The organic cords binding you dissolve!,739,,,,
330,violet fluid,You are covered in a burning violet fluid!,The violet fluid covering you dries up.,741,,,,
331,mermex poison,You are dizzy and disoriented from poison!,The dizzying poison runs its course.,744,,,,
332,sunbolt wand,,,,"You point the gnarled wand at %s, and utter ""Shirzak!""","%s points a gnarled wand at you and utters ""Shirzak!""","%s points a gnarled wand at %s and utters ""Shirzak!""",755
337,pool,You feel tranquil and soothed!,The  feeling of tranquility wears off.,771,You drink some of the glowing liquid.,,%s drinks some glowing liquid.,770
339,violet fluid mist,You are covered in a burning violet fluid!,The violet fluid covering you dries up.,741,,,,
340,area entrap,You are bound by sticky threads!,The organic cords binding you dissolve!,739,,,,
341,green beam,,,,,A fleshy black organ pokes out from the queen's chest plates!,A fleshy black organ pokes out from the queen's chest plates!,784
345,frenzy,You are in a battle frenzy!,Your frenzied state wears off.,811,You lay your hand upon %s's head.,%s lays a hand upon your head.,%s lays a hand upon %s's head.,810
346,mass frenzy,You are in a battle frenzy!,Your frenzied state wears off.,811,You close your eyes and chant loudly. %s,%s begins to chant loudly.,%s begins to chant loudly. %s,814
347,righteousness,You are filled with divine power!,The righteousness wears off.,816,You close your eyes and begin to pray.,%s begins to pray in a solemn tone.,%s begins to pray in a solemn tone.,815
348,blood ritual,You are affected by a blood ritual!,The effects of the blood ritual wear off.,820,You begin to chant an evil blood ritual.,%s begins to chant an evil blood ritual in a deep voice.,%s begins to chant an evil blood ritual in a deep voice.,819
349,regeneration,You are regenerating quickly!,You stop regenerating.,823,You lower your head and begin to chant in arcane tones.,%s begins to chant in arcane tones.,%s begins to chant in arcane tones.,822
350,way of the troll,You are regenerating quickly!,You stop regenerating.,823,,,,
351,whip entangle,You are pulled off-balance!,You regain your balance.,827,,,,
352,beat up,,,,,"The %s beats the living tar out of you, and you black out!","The %s beats the living tar out of %s, who is dragged away!",831
353,sharp blade,"You are bleeding from a jagged, painful wound!",The painful bleeding wound closes.,838,,,,
355,pale green lichen,You have an altered perception of reality!,You shake your head dazedly as the effects of the lichen wear off.,896,,,,
356,black cauldron,,,,You step into the black cauldron.,,%s steps into the black cauldron.,901
362,leprosy,You are covered in festering wounds!,The festering wounds covering your body close abruptly.,920,The %s shrieks a word in an evil-sounding tongue!,The %s shrieks a word in an evil-sounding tongue!,The %s shrieks a word in an evil-sounding tongue!,921
363,summon silver skull,,,,,,"The %s waves her sinister skull wand about, chanting madly!",925
365,bee poison,You feel ill.,The effects of the poison wear off!,8575,,,,
368,gold dust,You are cursed by a leprechaun!,The leprechaun's curse wears off!,944,,,,
369,bee honey,You feel a surge of power run through you!,The surge of power fades.,951,,,,
372,sleep,You are lulled into a magical slumber!,You awaken from the unnatural slumber.,958,,,,
373,mushroom poison,You feel deathly ill!,The deathly sickness wears off.,982,,,,
374,mass entangle,You are entangled!,The effects of entangle wear off!,8530,You make an arcane gesture!,%s makes an arcane gesture!,%s makes an arcane gesture!,570
380,creature illusion,You are distracted by illusionary attackers!,"Without a sound, the illusionary attackers vanish.",1018,,The %s makes an arcane gesture!,The %s makes an arcane gesture!,1016
381,gibbers,You are confused!,The effects of confusion wear off!,8538,,,,
384,divine intervention,You are protected by divine power!,You feel vulnerable.,1014,You lift up your emerald-tipped crozier and invoke its divine power!,,%s lifts up the emerald-tipped crozier and invokes its divine power!,1030
385,chain lightning,,,,"You grip the dragonclaw staff tightly, and the orb begins to glow!",,"%s grips the dragonclaw staff tightly, and the orb begins to glow!",1015
390,powerless,You feel powerless!,You suddenly feel your strength return!,1040,,,,
391,necromantic beam,,,,You raise your palm towards %s!,%s raises their palm towards you!,%s raises their palm towards %s!,1046
392,petrification,You are transformed into stone!,Your body returns to its normal state!,1049,,The %s gazes right into your eyes!,The %s gazes at %s!,1050
393,stone to flesh,,,,"You begin chanting softly, and lay your hand on %s's head.","%s begins chanting softly, and lays a hand on your head.","%s begins chanting softly, and lays a hand on %s's head.",1052
395,hold person,Your legs are paralyzed!,You can move again!,8544,,An eyestalk of the %s gazes at you!,An eyestalk of the %s gazes at %s!,2746
396,slow,You feel slow!,You speed up.,8536,,An eyestalk of the %s gazes at you!,An eyestalk of the %s gazes at %s!,2746
397,fear,You are afraid!,The effects of fear wear off!,8543,,An eyestalk of the %s gazes at you!,An eyestalk of the %s gazes at %s!,2746
398,death ray,,,,,The beholder gazes at you with an eyestalk!,The %s gazes at %s with an eyestalk!,1065
402,bleeding,You are bleeding from an unholy wound!,The unholy wound closes up.,1102,,,,
404,sacrifice,,,,You call upon the chaotic power of the forgotten gods!,%s calls upon the chaotic power of the forgotten gods!,%s calls upon the chaotic power of the forgotten gods!,1106
405,chaos shield,You are surrounded by a chaos shield!,The chaos shield fizzles out.,1109,You draw chaotic energy from the ether!,%s draws chaotic energy from the ether!,%s draws chaotic energy from the ether!,1108
406,mana flux,You are affected by a mana flux!,The mana flux dissipates rapidly.,1112,You draw power from the mana surrounding you!,%s draws power from the nearby mana!,%s draws power from the nearby mana!,1111
407,eye of the beholder,Your eyes are tingling!,Your awareness returns to normal.,117,,,,
409,constriction,You are being constricted by a magical serpent!,The serpent shrivels up and falls away.,1147,,,,
410,envelops,You are on fire!,The flames enveloping you die down!,8596,,,,
413,firestorm,,,,You cross your paired dragonblades and cut the air!,%s crosses paired dragonblades and cuts through the air!,,1152
414,burning,You are on fire!,The flames scorching you die down.,1153,,,,
421,cosmos spell,You are filled with cosmic energy!,The cosmic energy fizzles out.,1162,You raise your cosmic staff high in the air!,,%s raises the cosmic staff high in the air!,1160
422,barkskin,You feel tough!,The effects of barkskin wear off!,8528,,,,
423,feeblemind,You feel moronic!,You feel your intelligence return.,1170,,,,
424,weakness,You feel weak and powerless!,You feel your strength return.,1172,,,,
425,blasts,You are stunned!,You are no longer stunned.,57,,,,
428,chakram,,,,You invoke the power of the chakram!,%s invokes the power of the chakram!,%s invokes the power of the chakram!,1189
430,terror,You are afraid!,The effects of fear wear off!,8543,,,,
432,energy drain,,,,,The %s fires a tendril of energy at you!,The %s fires a tendril of energy at %s!,1211
433,energy vortex,,,,,The %s twirls his nexus spear above his head!,,1213
435,banish,You are afflicted by teleportation sickness!,The teleportation sickness wears off.,1218,You raise your hands and chant a forgotten ritual!,,"%s begins to chant a strange, haunting ritual!",1216
439,time distortion,You are caught in a time distortion field!,You speed up.,1304,,%s utters a guttural incantation.,,3371
440,globe of darkness,You are enveloped in darkness!,The unnatural darkness lifts.,1312,,The %s makes a clutching gesture!,The %s makes a clutching gesture!,1311
441,shadowstrike,,,,,The %s makes a sharp gesture!,The %s makes a sharp gesture!,1314
443,darkness hits,An unnatural darkness surrounds you!,The unnatural darkness dissipates.,1322,,,,
445,disease,You are diseased!,The disease dies down.,1337,,,,
446,plague,You are afflicted with a hideous plague!,The hideous plague wears off.,1345,You hurl a flask onto the ground!,%s hurls a flask onto the ground!,%s hurls a flask onto the ground!,1346
447,remove bonds,,,,You rub your diamond-studded ring.,%s rubs a diamond-studded ring.,%s rubs a diamond-studded ring.,1348
448,cross of vengeance,You are surrounded by a brilliant light!,The light from the Cross of Vengeance winks out.,1352,You hold aloft the Cross of Vengeance!,,%s holds aloft the Cross of Vengeance!,1350
449,arcane tome incantation,You have memorized an arcane incantation!,The arcane incantation slips from memory.,1354,You read from your arcane tome.,,%s reads from an arcane tome.,1353
450,pristine scroll,,,,"You read the strange, pristine scroll.","%s reads a strange, pristine scroll.","%s reads a strange, pristine scroll.",1356
479,zaps,You are stunned by electrical shock!,The shock wears off!,1448,,,,
521,cloud of spores,You are plagued by horrible hallucinations!,The awful hallucinations slowly die off.,1539,,,,
523,spore zombie curse,You are covered in deadly spores!,The spores covering your body finally consume you!,1542,,,,
527,whirlwind of fire,,,,,The %s makes a sweeping gesture.,,198
532,dragon fear effect,You are overcome by dragonfear!,,1568,,,,
533,vile oil,You are nauseated!,You recover from being nauseated.,1575,,,,
538,sand breath,,,,,"The %s inhales deeply, and blasts out a burning cone of sand!",,1602
539,sand blind,You are blinded by the sand!,You can see again.,1600,,,,
542,telekinesis,,,,,The %s glares at you!,The %s glares at %s!,1614
543,molecular agitation,,,,,The %s glares at you!,The %s glares at %s!,1614
544,cell adjustment,,,,,,The %s concentrates!,1617
553,explosion,,,,,The %s hurls a shimmering sphere on the ground!,,1652
562,flesh-eater,,,,,%s spews a jet of green droplets at you!,%s spews a jet of green droplets at %s!,1667
563,area flesh-eater,,,,,%s spews a cloud of green droplets into the air!,,1669
592,summon zombie cat,,,,,The %s makes an arcane gesture!,,533
594,globule,You are held by the queen's spit!,You can move again.,1743,,,,
633,mistweed trap,You are unconscious.,"You awaken, groggy and confused from the poison.",1871,,,,
634,mistweed save,You are drowsy and disoriented!,You feel better.,1872,,,,
664,glass orb,You feel lucky!,The effects of bless wear off!,8539,,,,
665,crystal orb,,,,You rub your crystal orb!,,%s rubs a crystal orb!,1919
666,granite orb,You feel powerful!,The effects of smite wear off!,8532,,,,
667,marble orb,,,,You rub your marble orb!,,%s rubs a marble orb!,1921
668,ashwood wand,You feel VERY lucky!,The effects of greater bless wear off.,93,,,,
669,teak wand,,,,You point your teak wand at %s!,%s points a teak wand at you!,%s points a teak wand at %s!,1923
670,mahogany wand,,,,You point your mahogany wand at %s!,%s points a mahogany wand at you!,%s points a mahogany wand at %s!,1924
671,pine wand,,,,You point your pine wand at %s!,%s points a pine wand at you!,%s points a pine wand at %s!,1925
672,darkwood rod,,,,You brandish your darkwood rod at %s!,%s brandishes a darkwood rod at you!,%s brandishes a darkwood rod at %s!,1927
673,silverwood rod,,,,You brandish your silverwood rod at %s!,%s brandishes a silverwood rod at you!,%s brandishes a silverwood rod at %s!,1928
674,rosewood rod,You are healing faster!,Your healing rate returns to normal.,86,,,,
675,birch rod,You are regenerating quickly!,You stop regenerating.,823,,,,
676,cedar rod,You feel fast!,You slow down.,8537,,,,
694,dart poison,You feel ill.,The effects of the poison wear off!,8575,,,,
704,poison,You feel ill.,The effects of the poison wear off!,8575,,,,
706,forked lightning,,,,You raise your hands and utter a word of power!,%s raises a hand and utters a word of power!,%s raises a hand and utters a word of power!,1999
716,elemental fury,,,,You summon the power of the elements!,%s makes a mighty gesture!,%s makes a mighty gesture!,2037
721,soulstrike,,,,You make a powerful incantation!,%s makes a powerful incantation!,%s makes a powerful incantation!,2042
738,crescent moon staff,,,,"You lift up your crescent moon staff, and invoke its power!","%s lifts up a crescent moon staff, and invokes its power!","%s lifts up a crescent moon staff, and invokes its power!",2076
739,rainbow stone,,,,The rainbow stone glows brightly!,The rainbow stone glows brightly!,%s's rainbow stone glows brightly!,2079
744,annointed hands,,,,You lay hands on %s.,%s lays hands on you!,%s lays hands on %s!,234
745,sunstone bracelet,You are surrounded by an orange glow!,The orange glow surrounding you fades.,2095,,,,
748,chaos surge,Chaotic energy surrounds your being!,The chaotic energy fades away.,3430,You make an arcane gesture!,%s makes an arcane gesture!,%s makes an arcane gesture!,570
749,eldritch fury,,,,You point your finger at %s and clench your fist.,%s points a finger at you and clenches a fist.,%s points a finger at %s and clenches a fist.,621
750,wizard knock,,,,You wave your hands about expansively.,%s makes a sweeping gesture.,%s makes a sweeping gesture.,104
759,dark blessing,You feel lucky!,The effects of bless wear off!,8539,,,,
760,wasp poison,You feel ill.,The effects of the poison wear off!,8575,,,,
761,spider poison,You feel ill.,The effects of the poison wear off!,8575,,,,
762,net,You are entangled in a net!,You work yourself free.,2119,,,,
763,voodoo stab,,,,The tasloi shaman takes a pin and stabs his doll!,,,2169
769,petrification,You are transformed into stone!,Your body returns to its normal state!,1049,,,,
770,giant skeleton shriek,You are too scared to flee!,You feel braver.,194,,,,
771,blizzard,,,,You sketch a mystical symbol in the air.,%s sketches a mystical symbol in the air.,%s sketches a mystical symbol in the air.,631
773,stormcrown,,,,You invoke the storm crown!,%s invokes the storm crown!,,2154
774,thunderstun,You are stunned!,You are no longer stunned.,57,,,,
775,thunderclap,,,,You sketch a mystical symbol in the air.,%s sketches a mystical symbol in the air.,%s sketches a mystical symbol in the air.,631
777,voodoo stun,You are stunned!,You are no longer stunned.,57,,,,
786,stormcrown thunderstun,You are stunned!,You are no longer stunned.,57,,,,
